epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1957.92,0.94446,1.22346,1.39682,0.44085,0.46638,0.44283,0.19379,1.42754,2.11185,2.00062,0.000990365,0.000990365,0.000990365
43,2003.22,0.80669,1.17236,1.28028,0.61038,0.38793,0.41766,0.20902,1.51502,2.0642,2.09709,0.000973861,0.000973861,0.000973861
44,2048.56,0.89627,1.20925,1.34404,0.58932,0.41466,0.40016,0.18565,1.72336,2.055,2.28002,0.000957358,0.000957358,0.000957358
45,2093.42,0.84937,1.09175,1.29282,0.5588,0.45036,0.42238,0.20107,1.85991,2.0203,2.41097,0.000940855,0.000940855,0.000940855
46,2139.07,0.87847,1.24802,1.34877,0.64638,0.4569,0.50725,0.22502,1.68265,1.95683,2.37379,0.000924352,0.000924352,0.000924352
47,2184.12,0.9533,1.39047,1.38579,0.63149,0.4053,0.48726,0.25791,1.5006,1.99482,2.15014,0.000907848,0.000907848,0.000907848
48,2230.38,0.84471,1.18811,1.34728,0.59006,0.48362,0.5385,0.29206,1.42348,1.76385,2.00878,0.000891345,0.000891345,0.000891345
49,2277.27,0.83857,1.10793,1.3162,0.71742,0.4431,0.51296,0.28467,1.47568,1.96694,2.0278,0.000874842,0.000874842,0.000874842
50,2324.62,0.78174,1.07719,1.29317,0.73766,0.37451,0.46117,0.2893,1.54878,2.1972,2.07088,0.000858338,0.000858338,0.000858338
51,2371.79,0.81842,1.10888,1.27569,0.52104,0.40086,0.4203,0.22425,1.67239,2.31962,2.14074,0.000841835,0.000841835,0.000841835
52,2418.78,0.80424,1.11123,1.27382,0.65698,0.42376,0.51049,0.26358,1.44617,1.93222,1.96631,0.000825332,0.000825332,0.000825332
53,2465.1,0.82209,0.92661,1.26559,0.56618,0.55259,0.5474,0.3203,1.38298,1.76349,1.88761,0.000808828,0.000808828,0.000808828
54,2512.05,0.81371,1.04644,1.26837,0.61189,0.56983,0.56298,0.32034,1.47205,1.73068,1.92813,0.000792325,0.000792325,0.000792325
55,2558.61,0.80631,1.04381,1.29126,0.73863,0.52649,0.56833,0.30432,1.32744,1.7995,1.858,0.000775822,0.000775822,0.000775822
56,2605.14,0.76775,0.99364,1.20758,0.70523,0.53397,0.55469,0.34789,1.26902,1.7729,1.87752,0.000759318,0.000759318,0.000759318
57,2650.6,0.79537,1.00253,1.23838,0.61839,0.51034,0.56198,0.33257,1.27477,1.76575,1.86997,0.000742815,0.000742815,0.000742815
58,2696.39,0.74533,1.01617,1.23516,0.6915,0.40862,0.46486,0.2794,1.41764,1.86502,1.9844,0.000726312,0.000726312,0.000726312
59,2743.18,0.77402,0.9766,1.23438,0.65599,0.43623,0.48267,0.28826,1.49825,1.85818,2.0555,0.000709809,0.000709809,0.000709809
60,2788.92,0.73213,0.91454,1.2382,0.60615,0.4431,0.46528,0.27554,1.42954,1.84257,1.97792,0.000693305,0.000693305,0.000693305
61,2834.78,0.78527,0.96382,1.29425,0.69291,0.40086,0.46474,0.23412,1.39323,1.93409,1.98234,0.000676802,0.000676802,0.000676802
62,2880.39,0.79223,0.9838,1.30105,0.57671,0.37414,0.41031,0.20671,1.48977,2.06145,2.08185,0.000660299,0.000660299,0.000660299
63,2925.4,0.70426,0.90773,1.17568,0.50864,0.44004,0.40926,0.20635,1.47147,2.17308,2.04844,0.000643795,0.000643795,0.000643795
64,2971.44,0.72074,0.95448,1.24213,0.38577,0.4681,0.41387,0.26653,1.33249,1.99705,1.89773,0.000627292,0.000627292,0.000627292
65,3018.27,0.83597,1.02156,1.2939,0.473,0.46034,0.47882,0.25657,1.39009,1.98656,2.07262,0.000610789,0.000610789,0.000610789
66,3063.86,0.72438,0.93917,1.27263,0.52154,0.50259,0.53791,0.29063,1.37114,1.83694,1.96654,0.000594286,0.000594286,0.000594286
67,3108.81,0.71108,0.9449,1.19513,0.60436,0.48362,0.54842,0.32446,1.34794,1.72428,1.94836,0.000577782,0.000577782,0.000577782
68,3153.58,0.70757,0.8888,1.19632,0.63882,0.55086,0.60296,0.35446,1.1956,1.73164,1.79892,0.000561279,0.000561279,0.000561279
69,3198.88,0.6962,0.88225,1.20891,0.6121,0.49138,0.52755,0.32927,1.21388,1.87865,1.79343,0.000544776,0.000544776,0.000544776
70,3243.79,0.70521,0.90945,1.19906,0.54863,0.47586,0.50105,0.30527,1.27408,1.98679,1.82008,0.000528272,0.000528272,0.000528272
71,3288.64,0.73522,0.94951,1.24531,0.52329,0.45862,0.452,0.26363,1.33715,1.99598,1.91295,0.000511769,0.000511769,0.000511769
72,3333.78,0.72857,0.85915,1.22519,0.38486,0.50086,0.4387,0.26175,1.457,2.00712,2.00129,0.000495266,0.000495266,0.000495266
73,3378.35,0.6904,0.89178,1.21119,0.45475,0.5264,0.46789,0.28622,1.4876,1.91783,2.00973,0.000478762,0.000478762,0.000478762
74,3423.19,0.66417,0.78693,1.19268,0.5739,0.49222,0.49932,0.30072,1.51966,1.91879,1.99858,0.000462259,0.000462259,0.000462259
75,3469.2,0.67836,0.81512,1.1892,0.54073,0.53362,0.52132,0.3146,1.51644,1.96465,1.95844,0.000445756,0.000445756,0.000445756
76,3515.24,0.71626,0.88315,1.20059,0.58924,0.50944,0.51061,0.31995,1.41984,1.75275,1.93761,0.000429253,0.000429253,0.000429253
77,3561.49,0.64914,0.82353,1.16075,0.73525,0.4931,0.5478,0.31307,1.39169,1.7246,1.91905,0.000412749,0.000412749,0.000412749
78,3607.81,0.65428,0.83262,1.19255,0.71141,0.49045,0.55541,0.29761,1.33223,1.75971,1.88652,0.000396246,0.000396246,0.000396246
79,3654.04,0.64516,0.7998,1.17705,0.69115,0.54607,0.56228,0.28942,1.38378,1.74594,1.91,0.000379743,0.000379743,0.000379743
80,3700.1,0.59733,0.75351,1.14139,0.71267,0.5096,0.53945,0.29036,1.34588,1.79378,1.8749,0.000363239,0.000363239,0.000363239
81,3745.22,0.62505,0.7649,1.15599,0.58451,0.4931,0.50737,0.29375,1.32348,1.74312,1.85272,0.000346736,0.000346736,0.000346736
82,3790.56,0.63749,0.72427,1.15828,0.66343,0.47586,0.51614,0.30366,1.28167,1.68748,1.80154,0.000330233,0.000330233,0.000330233
83,3836.06,0.5975,0.73063,1.11534,0.72148,0.46215,0.53601,0.31944,1.23764,1.6726,1.78213,0.000313729,0.000313729,0.000313729
84,3881.59,0.58722,0.76125,1.13099,0.64233,0.5181,0.54912,0.32855,1.2467,1.65199,1.82654,0.000297226,0.000297226,0.000297226
85,3926.99,0.56508,0.68754,1.10882,0.56716,0.60259,0.55161,0.32621,1.27157,1.60824,1.86276,0.000280723,0.000280723,0.000280723
86,3973.09,0.60341,0.69602,1.13365,0.56848,0.60164,0.55783,0.34704,1.25858,1.59306,1.85089,0.00026422,0.00026422,0.00026422
87,4018.84,0.61891,0.76097,1.14805,0.56505,0.6001,0.57248,0.33961,1.23711,1.60693,1.81376,0.000247716,0.000247716,0.000247716
88,4065.01,0.62023,0.73382,1.18401,0.62886,0.4931,0.54675,0.32144,1.30083,1.7127,1.83692,0.000231213,0.000231213,0.000231213
89,4110.42,0.63293,0.7719,1.17919,0.58844,0.53534,0.54705,0.32932,1.34064,1.76222,1.86713,0.00021471,0.00021471,0.00021471
90,4156.18,0.5908,0.68712,1.11125,0.60558,0.5466,0.55529,0.32693,1.34355,1.77525,1.85425,0.000198206,0.000198206,0.000198206
91,4202.49,0.52739,0.74324,1.07897,0.59315,0.55555,0.5495,0.33231,1.30139,1.70661,1.8237,0.000181703,0.000181703,0.000181703
92,4248.64,0.5273,0.70084,1.11379,0.61888,0.53068,0.54749,0.3318,1.27477,1.70758,1.79859,0.0001652,0.0001652,0.0001652
93,4294.68,0.45067,0.65635,1.04478,0.54293,0.56171,0.52156,0.32443,1.2815,1.67121,1.83261,0.000148696,0.000148696,0.000148696
94,4340.53,0.44326,0.61313,1.07684,0.58168,0.55336,0.51603,0.31058,1.26943,1.64387,1.82943,0.000132193,0.000132193,0.000132193
95,4384.91,0.50511,0.72533,1.10347,0.65791,0.53812,0.52043,0.30889,1.2432,1.61948,1.80723,0.00011569,0.00011569,0.00011569
96,4430.78,0.41215,0.60514,1.02407,0.55679,0.61034,0.55076,0.33089,1.24653,1.51909,1.78797,9.91865e-05,9.91865e-05,9.91865e-05
97,4475.76,0.44403,0.57683,1.02694,0.60121,0.55086,0.56317,0.34891,1.21771,1.45379,1.7474,8.26832e-05,8.26832e-05,8.26832e-05
98,4521.7,0.42367,0.56037,1.03141,0.66197,0.52586,0.57181,0.37098,1.16905,1.40531,1.69871,6.61799e-05,6.61799e-05,6.61799e-05
99,4567.28,0.43731,0.56208,1.05427,0.56678,0.70431,0.60053,0.40309,1.17306,1.3937,1.69859,4.96766e-05,4.96766e-05,4.96766e-05
100,4611.79,0.39223,0.53449,1.01516,0.53566,0.67931,0.60049,0.39103,1.1775,1.38831,1.69866,3.31733e-05,3.31733e-05,3.31733e-05
