epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1942.14,1.36715,1.14117,1.42861,0.92295,0.67578,0.75976,0.46629,1.52318,1.18244,1.68408,0.000990365,0.000990365,0.000990365
43,1987.28,1.388,1.14374,1.44537,0.91373,0.70336,0.78348,0.47658,1.45379,1.05452,1.59176,0.000973861,0.000973861,0.000973861
44,2031.97,1.35568,1.10372,1.41201,0.9501,0.67578,0.75642,0.46636,1.48272,1.18168,1.58617,0.000957358,0.000957358,0.000957358
45,2077.11,1.37634,1.10467,1.42448,0.93463,0.67021,0.7636,0.47134,1.53998,1.13271,1.65435,0.000940855,0.000940855,0.000940855
46,2121.49,1.38136,1.13526,1.42912,0.92236,0.69141,0.77275,0.46759,1.51801,1.06353,1.6267,0.000924352,0.000924352,0.000924352
47,2165.96,1.35151,1.11403,1.41339,0.95562,0.67969,0.77231,0.46367,1.48983,1.16378,1.62403,0.000907848,0.000907848,0.000907848
48,2210.21,1.34234,1.09884,1.39936,0.92393,0.68359,0.77826,0.4801,1.50492,1.05851,1.64981,0.000891345,0.000891345,0.000891345
49,2254.63,1.32581,1.0494,1.39014,0.93202,0.69627,0.7685,0.4837,1.52758,1.10143,1.69071,0.000874842,0.000874842,0.000874842
50,2300.55,1.31085,1.02941,1.3829,0.94108,0.68625,0.7801,0.4857,1.47544,1.02848,1.58091,0.000858338,0.000858338,0.000858338
51,2345.92,1.33718,1.03279,1.39202,0.94495,0.67058,0.76939,0.4752,1.54604,1.08578,1.6289,0.000841835,0.000841835,0.000841835
52,2390.68,1.31594,1.03322,1.36646,0.92645,0.69531,0.7773,0.47422,1.517,1.07316,1.60725,0.000825332,0.000825332,0.000825332
53,2434.74,1.29615,0.99235,1.3773,0.97217,0.67188,0.7764,0.47679,1.54353,1.06876,1.69334,0.000808828,0.000808828,0.000808828
54,2479.21,1.2838,1.01259,1.36248,0.92927,0.72266,0.79404,0.48367,1.49311,0.96535,1.60161,0.000792325,0.000792325,0.000792325
55,2524.04,1.29242,0.99694,1.36948,0.93938,0.71094,0.7855,0.46759,1.52904,1.03034,1.6643,0.000775822,0.000775822,0.000775822
56,2569.26,1.26771,0.99018,1.36338,0.93667,0.68359,0.77367,0.48283,1.4768,1.01099,1.59149,0.000759318,0.000759318,0.000759318
57,2613.63,1.25906,0.97793,1.35355,0.91721,0.69245,0.77641,0.47452,1.46274,1.00536,1.5512,0.000742815,0.000742815,0.000742815
58,2657.72,1.27343,0.9467,1.35126,0.96587,0.69531,0.79012,0.48645,1.49309,0.99806,1.61581,0.000726312,0.000726312,0.000726312
59,2703.8,1.25857,0.96572,1.34878,0.89584,0.70703,0.78045,0.48915,1.47589,1.00623,1.59539,0.000709809,0.000709809,0.000709809
60,2749.06,1.24242,0.9413,1.33862,0.95736,0.69141,0.79746,0.49469,1.47773,0.93307,1.58023,0.000693305,0.000693305,0.000693305
61,2796.67,1.22422,0.90445,1.32401,0.90557,0.70703,0.79043,0.49689,1.44585,1.01301,1.57185,0.000676802,0.000676802,0.000676802
62,2843.16,1.21438,0.90101,1.3291,0.91858,0.70513,0.79244,0.49761,1.44476,0.97735,1.59565,0.000660299,0.000660299,0.000660299
63,2889.02,1.20959,0.89436,1.31828,0.9179,0.69873,0.77626,0.47588,1.51762,0.99917,1.62239,0.000643795,0.000643795,0.000643795
64,2934.53,1.20798,0.89557,1.30668,0.88778,0.73438,0.80294,0.48769,1.51622,0.95343,1.6145,0.000627292,0.000627292,0.000627292
65,2981.03,1.21351,0.88073,1.29972,0.95222,0.70062,0.79376,0.4948,1.47691,0.98371,1.59952,0.000610789,0.000610789,0.000610789
66,3026.64,1.21287,0.91675,1.32231,0.92827,0.72656,0.78513,0.49574,1.45779,0.92285,1.55967,0.000594286,0.000594286,0.000594286
67,3071.98,1.19269,0.88894,1.29675,0.93382,0.71651,0.79659,0.49024,1.51328,0.93498,1.6603,0.000577782,0.000577782,0.000577782
68,3117.28,1.18367,0.87774,1.30201,0.94347,0.7171,0.80449,0.50374,1.47636,0.96971,1.59452,0.000561279,0.000561279,0.000561279
69,3164.5,1.17965,0.88291,1.28753,0.95835,0.71904,0.8112,0.50551,1.47279,0.91787,1.57404,0.000544776,0.000544776,0.000544776
70,3210.44,1.17689,0.86482,1.2802,0.8822,0.73828,0.79386,0.49677,1.43631,0.9483,1.56346,0.000528272,0.000528272,0.000528272
71,3255.95,1.16441,0.8607,1.27533,0.92151,0.75391,0.80817,0.50134,1.44476,0.97803,1.56684,0.000511769,0.000511769,0.000511769
72,3301.19,1.14498,0.82613,1.27044,0.95758,0.69922,0.80237,0.49532,1.44199,0.9262,1.58604,0.000495266,0.000495266,0.000495266
73,3346.9,1.15697,0.84373,1.27125,0.92566,0.72961,0.79383,0.48771,1.47918,0.93674,1.60356,0.000478762,0.000478762,0.000478762
74,3392.88,1.13429,0.81031,1.2541,0.90589,0.752,0.80483,0.50306,1.44403,0.9364,1.5906,0.000462259,0.000462259,0.000462259
75,3438.04,1.12432,0.8159,1.25896,0.9303,0.73828,0.81143,0.50972,1.43837,0.87906,1.58332,0.000445756,0.000445756,0.000445756
76,3484.4,1.1053,0.77583,1.23836,0.90902,0.74219,0.79687,0.50632,1.43638,0.95124,1.59157,0.000429253,0.000429253,0.000429253
77,3530.99,1.11738,0.81187,1.24368,0.91772,0.74072,0.79946,0.49847,1.45923,0.90699,1.58082,0.000412749,0.000412749,0.000412749
78,3578.04,1.11875,0.79676,1.25245,0.93533,0.70312,0.79326,0.50429,1.45474,0.96989,1.60282,0.000396246,0.000396246,0.000396246
79,3623.5,1.1126,0.77078,1.24571,0.92111,0.71484,0.78787,0.4972,1.43778,0.9415,1.59104,0.000379743,0.000379743,0.000379743
80,3668.64,1.12129,0.79156,1.25698,0.91651,0.73438,0.79522,0.50505,1.45713,0.99854,1.6132,0.000363239,0.000363239,0.000363239
81,3714.7,1.09462,0.776,1.21598,0.94301,0.73438,0.79517,0.49767,1.44842,0.92652,1.59884,0.000346736,0.000346736,0.000346736
82,3760.83,1.08569,0.75686,1.22261,0.93883,0.71947,0.79064,0.50066,1.41502,0.91208,1.56892,0.000330233,0.000330233,0.000330233
